iter	Passed	Remaining
412	3695	5252
413	3704	5243
414	3712	5233
415	3721	5224
416	3731	5216
417	3739	5206
418	3747	5196
419	3755	5186
420	3764	5176
421	3773	5168
422	3782	5159
423	3792	5152
424	3800	5142
425	3809	5133
426	3819	5125
427	3826	5114
428	3835	5105
429	3843	5095
430	3852	5086
431	3860	5076
432	3869	5067
433	3878	5057
434	3887	5049
435	3902	5048
436	3918	5048
437	3931	5044
438	3939	5034
439	3947	5023
440	3955	5014
441	3963	5003
442	3972	4994
443	3981	4985
444	3990	4977
445	3999	4968
446	4006	4956
447	4015	4948
448	4024	4938
449	4034	4931
450	4042	4921
451	4051	4912
452	4060	4902
453	4069	4894
454	4078	4885
455	4087	4875
456	4096	4866
457	4104	4857
458	4112	4847
459	4120	4837
460	4128	4827
461	4137	4818
462	4147	4810
463	4156	4801
464	4164	4791
465	4173	4782
466	4182	4773
467	4191	4764
468	4201	4756
469	4210	4747
470	4218	4737
471	4226	4728
472	4236	4719
473	4246	4712
474	4254	4702
475	4263	4693
476	4272	4684
477	4281	4675
478	4290	4666
479	4300	4658
480	4309	4649
481	4318	4640
482	4326	4631
483	4336	4623
484	4346	4614
485	4354	4605
486	4362	4595
487	4371	4586
488	4380	4577
489	4389	4568
490	4399	4560
491	4408	4551
492	4417	4542
493	4425	4533
494	4434	4523
495	4442	4514
496	4450	4504
497	4459	4495
498	4467	4485
499	4476	4476
500	4484	4466
501	4493	4457
502	4502	4448
503	4511	4439
504	4519	4429
505	4529	4421
506	4538	4412
507	4547	4403
508	4554	4393
509	4562	4383
510	4570	4373
511	4578	4364
512	4586	4354
513	4595	4345
514	4603	4335
515	4614	4328
516	4622	4318
517	4630	4308
518	4639	4299
519	4647	4289
520	4656	4280
521	4663	4270
522	4673	4262
523	4681	4252
524	4689	4242
525	4697	4233
526	4707	4224
527	4715	4215
528	4724	4206
529	4733	4197
530	4741	4187
531	4750	4179
532	4759	4169
533	4767	4160
534	4775	4150
535	4783	4140
536	4790	4130
537	4799	4121
538	4808	4112
539	4817	4103
540	4827	4095
541	4835	4086
542	4844	4076
543	4852	4067
544	4861	4058
545	4869	4048
546	4878	4040
547	4886	4030
548	4895	4021
549	4904	4012
550	4913	4003
551	4922	3995
552	4931	3986
553	4939	3976
554	4948	3967
555	4956	3957
556	4964	3948
557	4973	3939
558	4981	3929
559	4990	3921
560	4999	3912
561	5008	3903
562	5018	3895
563	5028	3887
564	5037	3878
565	5046	3869
566	5054	3859
567	5063	3851
568	5074	3843
569	5082	3834
570	5091	3825
571	5101	3817
572	5110	3808
573	5120	3799
574	5128	3790
575	5137	3782
576	5147	3773
577	5156	3764
578	5164	3755
579	5174	3746
580	5182	3737
581	5190	3727
582	5199	3718
583	5207	3709
584	5217	3701
585	5241	3703
586	5253	3696
587	5263	3687
588	5272	3679
589	5280	3669
590	5289	3660
591	5297	3650
592	5305	3641
593	5315	3632
594	5323	3623
595	5331	3613
596	5340	3605
597	5349	3596
598	5358	3587
599	5366	3577
600	5374	3568
601	5382	3558
602	5391	3549
603	5400	3540
604	5408	3531
605	5416	3521
606	5425	3512
607	5435	3504
608	5442	3494
609	5450	3484
610	5460	3476
611	5468	3467
612	5476	3457
613	5485	3448
614	5494	3439
615	5503	3430
616	5511	3421
617	5521	3412
618	5531	3404
619	5539	3395
620	5548	3386
621	5557	3377
622	5566	3368
623	5574	3358
624	5583	3350
625	5592	3341
626	5600	3331
627	5609	3322
628	5617	3313
629	5625	3304
630	5635	3295
631	5644	3286
632	5651	3276
633	5659	3267
634	5668	3258
635	5676	3249
636	5684	3239
637	5693	3230
638	5702	3221
639	5710	3211
640	5717	3202
641	5727	3194
642	5737	3185
643	5745	3176
644	5753	3166
645	5762	3157
646	5770	3148
647	5780	3139
648	5788	3130
649	5797	3121
650	5806	3112
651	5815	3104
652	5824	3094
653	5832	3085
654	5841	3076
655	5850	3067
656	5859	3058
657	5867	3049
658	5876	3040
659	5884	3031
660	5894	3022
661	5903	3014
662	5912	3005
663	5920	2996
664	5929	2986
665	5938	2978
666	5947	2969
667	5956	2960
668	5964	2951
669	5973	2942
670	5981	2932
671	5991	2924
672	5999	2915
673	6007	2905
674	6014	2896
675	6024	2887
676	6033	2878
677	6042	2869
678	6051	2860
679	6060	2851
680	6069	2843
681	6078	2834
682	6085	2824
683	6095	2815
684	6103	2806
