iter	RMSE
0	197.6220127
1	188.0591066
2	179.6730626
3	171.7542607
4	164.2477762
5	157.1718283
6	150.3385504
7	144.0704164
8	138.2903025
9	132.8582292
10	127.8707643
11	123.206827
12	118.9366113
13	114.8584775
14	111.0420342
15	107.5213755
16	104.3467571
17	101.2992145
18	98.54647
19	96.0008181
20	93.5257264
21	91.31817978
22	89.18301076
23	87.18259664
24	85.49801561
25	83.91230247
26	82.43516615
27	81.16286111
28	79.8503638
29	78.65893203
30	77.60738512
31	76.59126877
32	75.62273984
33	74.65554986
34	73.81006105
35	73.06640075
36	72.39696885
37	71.75169118
38	70.91362513
39	70.15573514
40	69.63260115
41	69.17762419
42	68.66307588
43	68.12210902
44	67.72043614
45	67.19198509
46	66.8872904
47	66.57768797
48	66.20984333
49	65.75512816
50	65.41050072
51	65.12534163
52	64.80077039
53	64.55978383
54	64.35736496
55	64.11198235
56	63.88242574
57	63.60598779
58	63.4166179
59	63.17611305
60	62.70465189
61	62.27391737
62	61.96804942
63	61.58933862
64	61.4065538
65	61.22251168
66	60.8675745
67	60.72934438
68	60.49624697
69	60.29996665
70	59.97690961
71	59.85861006
72	59.74066243
73	59.55047475
74	59.30377405
75	59.15104824
76	58.96289155
77	58.66894359
78	58.45647253
79	58.30504026
80	58.03778346
81	57.88666002
82	57.65282929
83	57.37449211
84	57.21557835
85	57.11852801
86	56.93179632
87	56.71608342
88	56.47450922
89	56.31442768
90	56.19261352
91	56.07581934
92	55.9245102
93	55.69575179
94	55.58925828
95	55.28660419
96	55.21442192
97	55.06117721
98	54.9281312
99	54.71345388
100	54.58376702
101	54.39778025
102	54.2418018
103	54.01791205
104	53.86504577
105	53.73414765
106	53.65277884
107	53.52831314
108	53.41970895
109	53.31332812
110	53.08306204
111	52.99949604
112	52.81066256
113	52.69317545
114	52.51764142
115	52.42414217
116	52.30316548
117	52.12761373
118	52.02525307
119	51.87495142
120	51.72869877
121	51.5711061
122	51.44293175
123	51.33671261
124	51.22877993
125	51.13114275
126	50.9131939
127	50.74897266
128	50.61354357
129	50.52587247
130	50.40521943
131	50.26872697
132	50.08773168
133	49.94758699
134	49.80592525
135	49.75191006
136	49.59568168
137	49.45883126
138	49.38315429
139	49.26570536
140	48.99785861
141	48.88901415
142	48.7583542
143	48.69714012
144	48.41029996
145	48.29783438
146	48.21025777
147	48.05123545
148	47.91612
149	47.7932964
150	47.72272683
151	47.63339291
152	47.45712408
153	47.32896831
154	47.22383913
155	47.02444315
156	46.85210166
157	46.65350964
158	46.62416526
159	46.55660053
160	46.41302952
161	46.246613
162	46.17412576
163	46.07205674
164	45.88242292
165	45.76991036
166	45.7383291
167	45.64445233
168	45.51625913
169	45.42250766
170	45.37334118
171	45.22843956
172	45.17276703
173	45.09703057
174	45.00756771
175	44.84954695
176	44.69838035
177	44.56762506
178	44.48947897
179	44.36997194
180	44.22831097
181	44.08776456
182	44.0161144
183	43.92484293
184	43.81292694
185	43.73016964
186	43.56504442
187	43.54008975
188	43.40804058
189	43.25056095
190	43.09001997
191	43.02125849
192	42.91442823
193	42.74879596
194	42.64870218
195	42.60980099
196	42.54175845
197	42.45591976
198	42.39858516
199	42.33841873
200	42.27868973
201	42.242329
202	42.14999217
203	42.06257825
204	42.01054872
205	41.81365041
206	41.73363486
207	41.65010028
208	41.50209526
209	41.3851647
