iter	RMSE
0	170.688313
1	162.3957094
2	154.5713878
3	147.3625006
4	140.6056616
5	134.2596699
6	128.2959893
7	122.7257248
8	117.5235548
9	112.692998
10	108.3344479
11	104.113469
12	100.2226785
13	96.52616767
14	93.21010108
15	90.17988702
16	87.3341689
17	84.64425965
18	82.18632788
19	79.94218491
20	77.78115677
21	75.8145963
22	74.02636183
23	72.34057918
24	70.81693856
25	69.44739396
26	68.18654823
27	66.88254658
28	65.82233949
29	64.84041755
30	63.84115528
31	62.99033334
32	62.23050937
33	61.52163835
34	60.83958703
35	60.11477848
36	59.45209878
37	58.81090777
38	58.33602205
39	57.85120542
40	57.44132177
41	57.05570268
42	56.65897065
43	56.29389896
44	55.93267983
45	55.59997486
46	55.38384839
47	55.04906237
48	54.69953412
49	54.37708529
50	54.10867712
51	53.83897429
52	53.630553
53	53.41920024
54	53.23175331
55	52.90087779
56	52.70945442
57	52.40003527
58	52.23812708
59	51.98109889
60	51.74824452
61	51.57309752
62	51.37803516
63	51.15918753
64	50.9917961
65	50.80532003
66	50.63903253
67	50.51741552
68	50.32222002
69	50.17327319
70	49.95118656
71	49.75906447
72	49.56299648
73	49.38182901
74	49.27912909
75	49.17835866
76	49.08469331
77	48.77420263
78	48.68504671
79	48.49553115
80	48.30011142
81	48.16666427
82	48.01967314
83	47.86782961
84	47.75664502
85	47.69484679
86	47.49911156
87	47.34909559
88	47.17121071
89	47.09797315
90	46.99160866
91	46.80003755
92	46.65353048
93	46.58105876
94	46.41454013
95	46.28090217
96	46.184466
97	46.12578457
98	45.9517905
99	45.8150249
100	45.71501747
101	45.66042778
102	45.54634397
103	45.37923417
104	45.25797276
105	45.17953771
106	45.0251792
107	44.90863339
108	44.84030715
109	44.78493719
110	44.63164448
111	44.55232562
112	44.50952369
113	44.40744627
114	44.30440543
115	44.10447462
116	43.99964215
117	43.87483112
118	43.72736697
119	43.61328417
120	43.52792725
121	43.42086977
122	43.28837876
123	43.14673605
124	43.04410971
125	42.95833037
126	42.86560372
127	42.73268212
128	42.67432345
129	42.57611462
130	42.45848301
131	42.39973227
132	42.30180985
133	42.1324134
134	42.09442163
135	41.98880256
136	41.95321549
137	41.85263698
138	41.7574479
139	41.68656847
140	41.58123023
141	41.53664167
142	41.43715332
143	41.31555796
144	41.22621073
145	41.17383597
146	41.10921825
147	40.98344867
148	40.7787788
149	40.71308261
150	40.58565398
151	40.4828864
152	40.42157878
153	40.36442387
154	40.29469005
155	40.22312972
156	40.1852518
157	40.05641218
158	39.96569712
159	39.87237238
160	39.7980619
161	39.65662545
162	39.54620178
163	39.44920938
164	39.33060642
165	39.26527928
166	39.15063762
167	39.09211073
168	39.06991281
169	38.99327608
170	38.9212591
171	38.82392123
172	38.70768144
173	38.62099679
174	38.57229869
175	38.45760811
176	38.40662077
177	38.36986668
178	38.29338208
179	38.17452148
180	38.09651355
181	38.00245051
182	37.91465227
183	37.84395517
184	37.78430016
185	37.69739587
186	37.63041001
187	37.5788241
188	37.52500993
189	37.48237316
190	37.4381782
191	37.38374512
192	37.31866721
193	37.22315054
194	37.12824396
195	37.03281223
196	36.94614938
197	36.89159704
198	36.81098637
199	36.74138711
200	36.70808319
201	36.63947496
202	36.5554649
203	36.49329459
204	36.39918268
205	36.3294448
206	36.25804381
207	36.20156934
208	36.14352934
209	36.07690952
210	36.04003923
211	35.94020978
212	35.88994708
213	35.82206845
214	35.80344695
215	35.7925525
216	35.74632816
217	35.69404939
218	35.57784159
219	35.46613443
220	35.42150473
221	35.33360741
222	35.28232414
223	35.23281216
224	35.15579622
225	35.11753521
226	35.06384272
227	34.99976615
228	34.96567264
229	34.94181011
230	34.8754292
231	34.82416012
232	34.74095636
233	34.65524739
234	34.56444463
235	34.48357605
236	34.41332642
237	34.3466082
238	34.25755896
239	34.19850922
240	34.15376578
241	34.08501725
242	34.05262995
243	33.92922515
244	33.85252881
245	33.80330926
246	33.70072108
247	33.65004439
248	33.60101558
249	33.54832793
250	33.44568003
251	33.35845118
252	33.30130384
253	33.18923799
254	33.12220214
255	33.0740159
256	33.00753873
257	32.95865069
258	32.8957901
259	32.86482416
260	32.83838767
261	32.82323714
262	32.69828577
263	32.62408414
264	32.57390015
265	32.52992832
266	32.49758829
267	32.40781372
268	32.32525429
269	32.30186123
270	32.2878842
271	32.22404968
272	32.12914809
273	32.12756675
274	32.06866508
275	32.00195374
276	31.96090106
277	31.90159123
278	31.85981792
279	31.79260337
280	31.73946421
281	31.68604075
282	31.63998545
283	31.57416699
284	31.5301363
285	31.49901294
286	31.43670764
287	31.34265803
288	31.27375314
289	31.23465088
290	31.18549526
291	31.15313702
292	31.12597987
293	31.07337276
294	31.05133382
295	31.01078941
296	30.96623315
297	30.90873761
298	30.89236832
299	30.85329737
300	30.80432902
301	30.7477189
302	30.69968624
303	30.63906823
304	30.60449964
305	30.59550919
306	30.51938127
307	30.44451459
308	30.39513432
309	30.34491251
310	30.27791216
311	30.22562022
312	30.14799375
313	30.1017254
314	30.06041305
315	30.01964707
316	29.95703269
317	29.90138139
318	29.83610476
319	29.81356088
320	29.7139833
321	29.66533216
322	29.62709058
323	29.56125408
324	29.53674575
325	29.49597216
326	29.43249029
327	29.4036636
328	29.35016675
329	29.28812923
330	29.25519213
331	29.20828385
332	29.16527691
333	29.10759421
334	29.06847192
335	29.01591081
336	28.982239
337	28.93081996
338	28.86832064
339	28.82603106
340	28.77029507
341	28.72094386
342	28.67069759
343	28.61575934
344	28.56930352
345	28.49362159
346	28.44642115
347	28.35075114
348	28.3152224
349	28.2723913
350	28.18546876
351	28.14311387
352	28.1030616
353	28.06420502
354	28.02512604
355	27.99799892
356	27.95830565
357	27.91815655
358	27.89175583
359	27.8441911
360	27.79748155
361	27.73697203
362	27.66111387
363	27.60049893
364	27.55355992
365	27.49420824
366	27.4385604
367	27.39251296
368	27.36281718
369	27.33393955
370	27.29449192
371	27.23265408
372	27.18636777
373	27.12696839
374	27.07669959
375	27.03943918
376	27.01119608
377	26.9762032
378	26.9350446
379	26.89519093
380	26.83618186
381	26.79791651
382	26.76788764
383	26.72035497
384	26.68026659
385	26.63190864
386	26.60771962
387	26.52251632
388	26.49351175
389	26.45113645
390	26.3855021
391	26.36517982
392	26.31829498
393	26.29829472
394	26.21973477
395	26.18446676
396	26.14135078
397	26.13835513
398	26.09197403
399	26.04053708
400	25.98508654
401	25.9357749
402	25.91360602
403	25.85518505
404	25.81700387
405	25.75922197
406	25.73652408
407	25.6758715
408	25.64361326
409	25.60290292
410	25.56846952
411	25.54364263
412	25.5012179
413	25.47800596
414	25.44823089
415	25.42786336
416	25.39485213
417	25.36617857
418	25.33761142
419	25.2832583
420	25.23625103
421	25.22292295
422	25.17512993
423	25.15112245
424	25.11309487
425	25.088744
426	25.05019587
427	24.9932191
428	24.95350908
429	24.91992719
430	24.86569347
431	24.84980634
432	24.82349647
433	24.78734393
434	24.76094082
435	24.73140053
436	24.71034549
437	24.66610201
438	24.60566972
439	24.58205849
440	24.54036251
441	24.50712535
442	24.46344489
443	24.42853429
444	24.42804074
445	24.39258801
446	24.37669259
447	24.32365026
448	24.29069785
449	24.2384819
450	24.19799164
451	24.16038648
452	24.1312841
453	24.07523521
454	24.04017211
455	24.02152778
456	23.99799804
457	23.97000393
458	23.92988995
459	23.90385645
460	23.86365494
461	23.82614036
462	23.8074802
463	23.76351724
464	23.74878102
465	23.72214343
466	23.69181299
467	23.64801236
468	23.58733431
469	23.5515436
470	23.49978581
471	23.46312544
472	23.43712342
473	23.37682698
474	23.35188128
475	23.32019059
476	23.28347524
477	23.22594264
478	23.20907392
479	23.1635412
480	23.14440804
481	23.11419997
482	23.0538307
483	23.03694425
484	22.98620877
485	22.96021766
486	22.94317086
487	22.89447976
488	22.85861016
489	22.83632119
490	22.80743327
491	22.76388523
492	22.73873586
493	22.72878425
494	22.71904528
495	22.69394433
496	22.6618984
497	22.61822015
498	22.58330114
499	22.53220293
500	22.49833014
501	22.49648579
502	22.46394621
503	22.43804096
504	22.39808498
505	22.34428723
506	22.31798689
507	22.28680046
508	22.25997291
509	22.24281182
510	22.2007231
511	22.17118827
512	22.1327394
513	22.10404892
514	22.03805888
515	22.00250805
516	21.95409357
517	21.92017223
518	21.8843105
519	21.85238136
520	21.80028424
521	21.76830378
522	21.7679945
523	21.75307311
524	21.72187057
525	21.65833804
526	21.62386825
527	21.58454393
528	21.54123709
529	21.50851975
530	21.49121248
531	21.45460179
532	21.42261588
533	21.38963376
534	21.36761571
535	21.33602406
536	21.29881358
537	21.25409575
538	21.2223792
539	21.2156358
540	21.1719804
541	21.14325274
542	21.10717719
543	21.09209221
544	21.08115123
545	21.04674146
546	21.02536223
547	21.00555974
548	20.96623355
549	20.92076918
550	20.89162087
551	20.86700814
552	20.82144231
553	20.79777465
554	20.76335963
555	20.75080501
556	20.72923741
557	20.71120275
558	20.67770907
559	20.66363157
560	20.65257418
561	20.61905413
562	20.60234176
563	20.57407271
564	20.56347554
565	20.54408317
566	20.52492387
567	20.49335396
568	20.466085
569	20.43444832
570	20.4104578
571	20.39043722
572	20.37171294
573	20.34243636
574	20.31306013
575	20.28952708
576	20.26369076
577	20.2489256
578	20.2243391
579	20.18973655
580	20.17712814
581	20.14932665
582	20.12827114
583	20.09847975
584	20.04434455
585	20.00851863
586	19.98971059
587	19.96219211
588	19.94557667
589	19.92728555
590	19.90733261
591	19.88641735
592	19.84951608
593	19.84466488
594	19.81372442
595	19.78695481
596	19.76859383
597	19.74178698
598	19.72469894
599	19.67981171
600	19.65766851
601	19.59082063
602	19.58720134
603	19.56145988
604	19.52544589
605	19.49682283
606	19.4730449
607	19.44128161
608	19.43296023
609	19.40435395
610	19.36125684
611	19.32519422
612	19.28392123
613	19.2591936
614	19.23816008
615	19.22524997
616	19.19347219
617	19.17103008
618	19.15081902
619	19.12064701
620	19.10327949
621	19.08180134
622	19.06751258
623	19.04717726
624	19.02501568
625	19.01266433
626	18.986549
627	18.95006265
628	18.9369723
629	18.91180002
630	18.87635273
631	18.85829065
632	18.84246999
633	18.82606908
634	18.79301894
635	18.77837916
636	18.75581132
637	18.72973071
638	18.70583129
639	18.65740799
640	18.63682505
641	18.62153912
642	18.57713517
643	18.55640739
644	18.53334101
645	18.50837575
646	18.47143043
647	18.4332423
648	18.42749472
649	18.39602933
650	18.37850824
651	18.34811615
652	18.33927918
653	18.33478833
654	18.31500249
655	18.28400009
656	18.24629502
657	18.21590343
658	18.19229882
659	18.15551722
660	18.13128703
661	18.09392346
662	18.06623413
663	18.03361307
664	18.01490429
665	17.98305402
666	17.96293649
667	17.94489488
668	17.94473585
669	17.92444704
670	17.91838757
671	17.884046
672	17.86362937
673	17.83780328
674	17.82411499
675	17.79850787
676	17.77704925
677	17.76047919
678	17.72776248
679	17.71361614
680	17.67681399
681	17.65734028
682	17.64103412
683	17.62078673
684	17.5980249
685	17.58137506
686	17.54776874
687	17.52043889
688	17.50544415
689	17.47802526
690	17.45655701
691	17.43067999
692	17.41707101
693	17.39067151
694	17.37307319
695	17.35382758
696	17.33007816
697	17.31240478
698	17.29915532
699	17.28557002
700	17.2623224
701	17.24104046
702	17.22252673
703	17.18366803
704	17.15516508
705	17.12980688
706	17.10601782
707	17.08511861
708	17.06314081
709	17.03596931
710	17.02261093
711	17.00998765
712	16.98094418
713	16.9619831
714	16.94807136
715	16.93195338
716	16.91314982
717	16.90030626
718	16.8828663
719	16.85893936
720	16.84204966
721	16.82835989
722	16.8105914
723	16.78190779
724	16.75739631
725	16.73074695
726	16.72240712
727	16.70464005
728	16.68941851
729	16.68088163
730	16.66027723
731	16.63777893
732	16.6159704
733	16.59166535
734	16.57135417
735	16.55661597
736	16.53001043
737	16.50937151
738	16.49278072
739	16.47290857
740	16.45922483
741	16.4280376
742	16.4103094
743	16.38844725
744	16.37978862
745	16.36194649
746	16.3468593
747	16.31962845
748	16.30484754
749	16.29253363
750	16.27885735
751	16.25673129
752	16.23401476
753	16.21938525
754	16.18345373
755	16.15814307
756	16.14752769
757	16.13033463
758	16.11147581
759	16.08768959
760	16.06855784
761	16.05307738
762	16.02449834
763	16.00701125
764	15.98959832
765	15.96242065
766	15.9375605
767	15.92746169
768	15.92100659
769	15.89844503
770	15.87202874
771	15.85356654
772	15.83161568
773	15.81878297
774	15.80876975
775	15.7856498
776	15.77782626
777	15.75852035
778	15.74801314
779	15.72814172
780	15.70906801
781	15.69435903
782	15.6636429
783	15.65497458
784	15.64827699
785	15.63977746
786	15.62723279
787	15.60995089
788	15.58210826
789	15.563912
790	15.55361962
791	15.53494248
792	15.52187565
793	15.50512117
794	15.48237013
795	15.46661095
796	15.44986043
797	15.4292223
798	15.41242227
799	15.39225605
800	15.37538593
